3Com Corp,3COM CORPORATION,TRUE
3Com Corp,"3COMMA PUBLISHING, LLC",FALSE
3M Company,"3M & C, LTD.",FALSE
3M Company,"3M & O'FERRALL, INC.",FALSE
3M Company,3M ACCOUNTING SERVICE LLC,FALSE
3M Company,3M ADVISORS INC.,FALSE
3M Company,"3M AIRCRAFTS, LLC",FALSE
3M Company,3M ALUMINUM SIDING CORPORATION,FALSE
3M Company,"3M ANAAR, INC.",FALSE
3M Company,3M ASSOCIATES LIMITED LIABILITY COMPANY,FALSE
3M Company,"3M AUCTIONS, INC.",FALSE
3M Company,3M AUTO RENTAL & LEASING CORP.,FALSE
3M Company,"3M BAGEL PLACE, INC.",FALSE
3M Company,3M BUILDING CORP.,FALSE
3M Company,3M BUSINESS PRODUCTS SALES INCORPORATED,FALSE
3M Company,3M CAPITAL LLC,FALSE
3M Company,"3M CARPET CLEANING, INC.",FALSE
3M Company,3M CLEANING & MAINTENANCE INC.,FALSE
3M Company,"3M COGENT, INC.",FALSE
3M Company,3M COMPANY,TRUE
3M Company,"3M COMPUTER, INC.",FALSE
3M Company,3M CONSTRUCTION CO. CORP.,FALSE
3M Company,"3M CONSTRUCTION SERVICES, LLC",FALSE
3M Company,3M CONSULTING INC.,FALSE
3M Company,3M CONTRACTING INC.,FALSE
3M Company,3M DELI & GROCERY CORP.,FALSE
3M Company,3M DETAILING CORPORATION,FALSE
A.G. Edwards Inc.,A.G. EDWARDS & COMPANY C.P.A. L.L.P.,FALSE
A.G. Edwards Inc.,A.G. EDWARDS & COMPANY FORENSIC ACCOUNTING SERVICES INC.,FALSE
A.G. Edwards Inc.,"A.G. EDWARDS MORTGAGE, LLC",FALSE
Abbott Laboratories,ABBOTT LABORATORIES,TRUE
Abbott Laboratories,ABBOTT LABORATORIES INC.,TRUE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH CO.,TRUE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH COMPANY,TRUE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH MANAGEMENT CO.,FALSE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH MERCHANDISING & DESIGN CO.,FALSE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH PRODUCTION COMPANY,FALSE
Abercrombie & Fitch Co.,"ABERCROMBIE & FITCH REALTY COMPANY, INC.",FALSE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH SERVICE CORPORATION,FALSE
Abercrombie & Fitch Co.,"ABERCROMBIE & FITCH STORES, INC.",FALSE
Abercrombie & Fitch Co.,ABERCROMBIE & FITCH TRADING CO.,FALSE
Abercrombie & Fitch Co.,"ABERCROMBIE & FITCH, INC.",FALSE
ABM Industries Incorporated,ABM INDUSTRIES INC.,TRUE
ABM Industries Incorporated,ABM INDUSTRIES INCORPORATED,TRUE
ABM Industries Incorporated,ABM INDUSTRIES OF RICHMOND HILL INC.,FALSE
ABM Industries Incorporated,"ABM INDUSTRIES, INC.",TRUE
Ace Hardware Corporation,"ACE HARDWARE CO., INC.",FALSE
Ace Hardware Corporation,ACE HARDWARE CORPORATION,TRUE
Ace Hardware Corporation,"ACE HARDWARE OF BAYSHORE, INC.",FALSE
Ace Hardware Corporation,"ACE HARDWARE OF HEWLETT, INC.",FALSE
Ace Hardware Corporation,ACE HARDWARE RETAILERS INSURANCE AGENCY,FALSE
Ace Hardware Corporation,"ACE HARDWARE SACKETS HARBOR, INC.",FALSE
Acterna Corp.,ACTERNA LLC,FALSE
"ADC Telecommunications, Inc.","ADC TELECOMMUNICATIONS, INC.",TRUE
Adelphia Communications Corporation,"ADELPHIA ABSTRACT, INC.",FALSE
Adelphia Communications Corporation,ADELPHIA AUTOMATIC SPRINKLER COMPANY,FALSE
Adelphia Communications Corporation,ADELPHIA BUILDING CORP.,FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS ATLANTIC, INC.",FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS INVESTMENT, LLC",FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS OF EASTERN NEW YORK, INC.",FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS OF NEW YORK, INC.",FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS OF VERMONT, INC.",FALSE
Adelphia Communications Corporation,"ADELPHIA BUSINESS SOLUTIONS OPERATIONS, INC.",FALSE
Adelphia Communications Corporation,ADELPHIA BUTTON COMPANY INC.,FALSE
Adelphia Communications Corporation,"ADELPHIA CABELVISION ASSOCIATES, L.P.",FALSE
Adelphia Communications Corporation,"ADELPHIA CABLEVISION ASSOCIATES, L.P.",FALSE
Adelphia Communications Corporation,ADELPHIA CABLEVISION CORP.,FALSE
Adelphia Communications Corporation,"ADELPHIA CABLEVISION OF NEW YORK, INC.",FALSE
Adelphia Communications Corporation,"ADELPHIA CAPITAL, LLC",FALSE
Adelphia Communications Corporation,ADELPHIA COMMUNICATIONS CORPORATION,TRUE
Adelphia Communications Corporation,"ADELPHIA CONSOLIDATION, LLC",FALSE
Adelphia Communications Corporation,ADELPHIA CONSTRUCTION CORP.,FALSE
Adelphia Communications Corporation,ADELPHIA CONTAINER CORP.,FALSE
Adelphia Communications Corporation,ADELPHIA CONVENIENCE & DELI INC.,FALSE
Adelphia Communications Corporation,"ADELPHIA DEMOLITION & RECYCLING, INC.",FALSE
"Administaff, Inc.","ADMINISTAFF, INC.",TRUE
Adobe Systems Incorporated,ADOBE SYSTEMS INCORPORATED,TRUE
Adolph Coors Company,ADOLPH COORS COMPANY,TRUE
"Advanced Micro Devices, Inc.","ADVANCED MICRO DEVICES, INC.",TRUE
The AES Corporation,"THE AES CAPITAL RESOURCE FUND, L.P.",FALSE
The AES Corporation,"THE AES CAPITAL RESOURCE MANAGEMENT COMPANY, LLC",FALSE
The AES Corporation,THE AES CORPORATION,TRUE
The AES Corporation,"THE AESCULAPIUS CLUB OF YONKERS, NEW YORK, INC.",FALSE
The AES Corporation,THE AESTHETE INC.,FALSE
The AES Corporation,THE AESTHETE MEDIA GROUP,FALSE
